det1_rich_modular_eleside_0_0  |                root  | det1_rich_modular_eleside_0_0  |-913.095943260977*mm -311.759194599553*mm -2129.13861101081*mm  |7.87705050388303*deg 156.92929997078*deg 0*deg  | 81f7f3   |                 Box  |                                72.6*mm 72.6*mm 137.55625*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_hollow  |det1_rich_modular_eleside_0_0  |det1_rich_modular_eleside_0_0_hollow  |                             0*mm 0*mm -2.38125*mm  |                                   0 0 0  | ffffff   |                 Box  |                               66.25*mm 66.25*mm 133.5875*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_FoamHolder  |det1_rich_modular_eleside_0_0_hollow  |det1_rich_modular_eleside_0_0_FoamHolder  |                            0*mm 0*mm -126.5875*mm  |                                   0 0 0  | 00ff00   |                 Box  |                                      65.25*mm 65.25*mm 5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_FoamHolder_1  |det1_rich_modular_eleside_0_0_hollow  |det1_rich_modular_eleside_0_0_foamHolder_name  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |                Pgon  |45*deg 360*deg 4*counts 2*counts 55.25*mm 55.25*mm 65.25*mm 65.25*mm -121.5875*mm -88.5875*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_Aerogel  |det1_rich_modular_eleside_0_0_hollow  |det1_rich_modular_eleside_0_0_Aerogel  |                            0*mm 0*mm -105.0875*mm  |                                   0 0 0  | ffa500   |                 Box  |                                   55.25*mm 55.25*mm 16.5*mm  |             aerogel  |                  no  |     1   |     1   |     1   |   1   |   1   |            eic_rich  |            eic_rich  |                       id manual 2100000 
det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_hollow  |det1_rich_modular_eleside_0_0_lensHoldBox  |                              0*mm 0*mm 17.9875*mm  |                    0*deg -180*deg 0*deg  | 2eb7ed   |                 Box  |                                  66.675*mm 66.675*mm 8.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove0  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 0*mm 0*mm 0*mm 0.2032*mm 0.2032*mm 0.0001*mm -8.5*mm 8.49972353741497*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove1  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 0.2032*mm 0.2032*mm 0.2032*mm 0.4064*mm 0.4064*mm 0.2033*mm -8.5*mm 8.4991706122449*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove2  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 0.4064*mm 0.4064*mm 0.4064*mm 0.6096*mm 0.6096*mm 0.4065*mm -8.5*mm 8.49861768707483*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove3  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove3  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 0.6096*mm 0.6096*mm 0.6096*mm 0.8128*mm 0.8128*mm 0.6097*mm -8.5*mm 8.49806476190476*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove4  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove4  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 0.8128*mm 0.8128*mm 0.8128*mm 1.016*mm 1.016*mm 0.8129*mm -8.5*mm 8.49751183673469*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove5  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove5  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 1.016*mm 1.016*mm 1.016*mm 1.2192*mm 1.2192*mm 1.0161*mm -8.5*mm 8.49695891156463*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove6  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove6  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 1.2192*mm 1.2192*mm 1.2192*mm 1.4224*mm 1.4224*mm 1.2193*mm -8.5*mm 8.49640598639456*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove7  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove7  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 1.4224*mm 1.4224*mm 1.4224*mm 1.6256*mm 1.6256*mm 1.4225*mm -8.5*mm 8.49585306122449*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove8  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove8  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 1.6256*mm 1.6256*mm 1.6256*mm 1.8288*mm 1.8288*mm 1.6257*mm -8.5*mm 8.49530013605442*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove9  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove9  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 1.8288*mm 1.8288*mm 1.8288*mm 2.032*mm 2.032*mm 1.8289*mm -8.5*mm 8.49474721088435*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
