count	id_i	id_j	x	y	z	rotation_x	rotation_y
1	0	0	-913.095943	-311.759195	-2129.138611	7.877051	156.929300
2	0	1	-913.095943	-156.228911	-2146.163448	3.937382	156.987567
3	0	2	-913.095943	0.000000	-2151.842239	-0.000000	157.006924
4	0	3	-913.095943	156.228911	-2146.163448	-3.937382	156.987567
5	0	4	-913.095943	311.759195	-2129.138611	-7.877051	156.929300
6	1	0	-767.237495	-617.948098	-2119.824520	15.635035	160.587715
7	1	1	-767.237495	-465.895347	-2158.345981	11.720631	160.698438
8	1	2	-767.237495	-311.759195	-2185.937340	7.811146	160.776818
9	1	3	-767.237495	-156.228911	-2202.523184	3.904806	160.823567
10	1	4	-767.237495	0.000000	-2208.057030	-0.000000	160.839104
11	1	5	-767.237495	156.228911	-2202.523184	-3.904806	160.823567
12	1	6	-767.237495	311.759195	-2185.937340	-7.811146	160.776818
13	1	7	-767.237495	465.895347	-2158.345981	-11.720631	160.698438
14	1	8	-767.237495	617.948098	-2119.824520	-15.635035	160.587715
15	2	0	-617.948098	-767.237495	-2119.824520	19.412285	164.364965
16	2	1	-617.948098	-617.948098	-2168.052010	15.523578	164.476422
17	2	2	-617.948098	-465.895347	-2205.731375	11.639177	164.562183
18	2	3	-617.948098	-311.759195	-2232.737238	7.757829	164.622954
19	2	4	-617.948098	-156.228911	-2248.977967	3.878437	164.659224
20	2	5	-617.948098	0.000000	-2254.397784	-0.000000	164.671283
21	2	6	-617.948098	156.228911	-2248.977967	-3.878437	164.659224
22	2	7	-617.948098	311.759195	-2232.737238	-7.757829	164.622954
23	2	8	-617.948098	465.895347	-2205.731375	-11.639177	164.562183
24	2	9	-617.948098	617.948098	-2168.052010	-15.523578	164.476422
25	2	10	-617.948098	767.237495	-2119.824520	-19.412285	164.364965
26	3	0	-465.895347	-767.237495	-2158.345981	19.301562	168.279369
27	3	1	-465.895347	-617.948098	-2205.731375	15.437817	168.360823
28	3	2	-465.895347	-465.895347	-2242.777803	11.576435	168.423565
29	3	3	-465.895347	-311.759195	-2269.342846	7.716730	168.468059
30	3	4	-465.895347	-156.228911	-2285.323451	3.858102	168.494627
31	3	5	-465.895347	0.000000	-2290.657274	-0.000000	168.503462
32	3	6	-465.895347	156.228911	-2285.323451	-3.858102	168.494627
33	3	7	-465.895347	311.759195	-2269.342846	-7.716730	168.468059
34	3	8	-465.895347	465.895347	-2242.777803	-11.576435	168.423565
35	3	9	-465.895347	617.948098	-2205.731375	-15.437817	168.360823
36	3	10	-465.895347	767.237495	-2158.345981	-19.301562	168.279369
37	4	0	-311.759195	-913.095943	-2129.138611	23.070700	172.122949
38	4	1	-311.759195	-767.237495	-2185.937340	19.223182	172.188854
39	4	2	-311.759195	-617.948098	-2232.737238	15.377046	172.242171
40	4	3	-311.759195	-465.895347	-2269.342846	11.531941	172.283270
41	4	4	-311.759195	-311.759195	-2295.600495	7.687570	172.312430
42	4	5	-311.759195	-156.228911	-2311.399566	3.843670	172.329848
43	4	6	-311.759195	0.000000	-2316.673353	-0.000000	172.335641
44	4	7	-311.759195	156.228911	-2311.399566	-3.843670	172.329848
45	4	8	-311.759195	311.759195	-2295.600495	-7.687570	172.312430
46	4	9	-311.759195	465.895347	-2269.342846	-11.531941	172.283270
47	4	10	-311.759195	617.948098	-2232.737238	-15.377046	172.242171
48	4	11	-311.759195	767.237495	-2185.937340	-19.223182	172.188854
49	4	12	-311.759195	913.095943	-2129.138611	-23.070700	172.122949
50	5	0	-156.228911	-913.095943	-2146.163448	23.012433	176.062618
51	5	1	-156.228911	-767.237495	-2202.523184	19.176433	176.095194
52	5	2	-156.228911	-617.948098	-2248.977967	15.340776	176.121563
53	5	3	-156.228911	-465.895347	-2285.323451	11.505373	176.141898
54	5	4	-156.228911	-311.759195	-2311.399566	7.670152	176.156330
55	5	5	-156.228911	-156.228911	-2327.091377	3.835047	176.164953
56	5	6	-156.228911	0.000000	-2332.329683	-0.000000	176.167821
57	5	7	-156.228911	156.228911	-2327.091377	-3.835047	176.164953
58	5	8	-156.228911	311.759195	-2311.399566	-7.670152	176.156330
59	5	9	-156.228911	465.895347	-2285.323451	-11.505373	176.141898
60	5	10	-156.228911	617.948098	-2248.977967	-15.340776	176.121563
61	5	11	-156.228911	767.237495	-2202.523184	-19.176433	176.095194
